Root Domain,Location on Site,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Overall Score,Performance,Accessibility,SEO,Best Practices,Telephones,Emails,X,Twitter,TikTok,Threads,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,YouTube,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CRuX Rank,Cloudflare Rank,Exclusion,Compliance
mlbtraderumors.com,mlbtraderumors.com,$250,,500000.0,0.0,0,Sports Reference LLC,Sports,1684.0,16878,31544,58279,,,,,,ph:,,,twitter.com/mlbtraderumors,,,facebook.com/mlbtraderumorscom-19962522840,,,,,instagram.com/traderumorsmlb,,,,N/A - Manager - noemail,,Glen Ellyn,IL,60138,US,2020-06-01,2023-12-30,2011-01-03,2024-01-07,,Top 50k,Top 50k,-,-
xda-developers.com,xda-developers.com,$2000,$2486553,0.0,0.0,0,XDA Developers,Technology And Computing,1721.0,2522,1457,14186,,,,,,ph:+1-800-952-5210;+1-979-473-9212,webmaster@xda-developers.com;yadav@xda-developers.com;shirt@xda-developers.com;xdadevcon@xda-developers.com;ddrager@xda-developers.com;kahvitahra@xda-developers.com;portal@xda-developers.com;phil3759@xda-developers.com;cocafe@xda-developers.com;keifus.rahn@xda-developers.com;jeboo@xda-developers.com;divaks@xda-developers.com;ahra@xda-developers.com;apascual89@xda-developers.com;undertakerr@xda-developers.com;docrambone@xda-developers.com;wanam@xda-developers.com;hyperx@xda-developers.com;splendid-xda@xda-developers.com;mustangtim49@xda-developers.com;bitpushr@xda-developers.com,,,,,,,,,,,,,,N/A - Engineering - n/a@xda-developers.com; N/A - Unknown - n/a@xda-developers.com; N/A - President - n/a@xda-developers.com; N/A - Csuite - n/a@xda-developers.com,,,,,,2020-06-01,2024-01-02,2006-10-03,2024-01-02,StackCommerce,Top 500k,Top 50k,-,-
everydaykoala.com,everydaykoala.com,$0,,0.0,0.0,0,EverydayKoala,Art And Entertainment,1729.0,548968,Outside Top 1m,220063,,,,,,ph:,aadmin@everydaykoala.com,,,,,,,,,,,,,,,,,,,,2017-12-01,2023-12-23,2016-11-14,2023-12-23,,Top 500k,Top 100k,-,-
treehugger.com,treehugger.com,$1000,,300000.0,0.0,0,MNN HOLDING COMPANY LLC,Science,1735.0,4417,902,27571,,,,,,ph:+1-212-204-4000,design-tips@treehugger.com;science-tips@treehugger.com;technology-tips@treehugger.com;transportation-tips@treehugger.com;editor@treehugger.com;brianmerchant@treehugger.com;helen@treehugger.com;john@treehugger.com;tips@treehugger.com;writer.hunt@treehugger.com;jenniferhattam@treehugger.com;paula@treehugger.com;tech@treehugger.com;video-tips@treehugger.com;lloyd@treehugger.com;wholesale@treehugger.com;advertising@treehugger.com;ccfeedback@treehugger.com;mairi@treehugger.com;tajuana70496@treehugger.com;contact@treehugger.com;support@treehugger.com;marketing@treehugger.com;press@treehugger.com;write@treehugger.com;sales@treehugger.com;privacy@treehugger.com;optout@treehugger.com;security@treehugger.com;bugbounty@treehugger.com;nevadaprivacy@treehugger.com,,twitter.com/treehugger,,,facebook.com/treehugger,,,pinterest.com/treehugger,,instagram.com/treehuggerdotcom,,,,N/A - Designer - n/a@treehugger.com; N/A - Director - n/a@treehugger.com; N/A - Manager - n/a@treehugger.com; N/A - President - n/a@treehugger.com; N/A - Other - n/a@treehugger.com,,New York City,NY,10005,US,2020-09-26,2023-12-03,2002-05-29,2024-01-08,,Top 100k,Top 100k,-,-
spicysouthernkitchen.com,spicysouthernkitchen.com,$500,,20000.0,0.0,0,Spicy Southern Kitchen,Food And Drink,1740.0,453104,63285,92947,,,,,,ph:,,,,,,facebook.com/spicysouthernkitchen,,,,,instagram.com/spicysouthernkitchen,,,,,,,,,,2016-06-23,2023-12-31,2013-03-07,2023-12-31,,Top 500k,Top 200k,-,-
nola.com,nola.com,$5000,,200000.0,10.0,864,NOLA Media Group,Sports,1749.0,4871,1692,75265,,,,,,ph:+1-504-826-3551;+1-800-933-9771;+1-504-826-3000;+1-800-925-0000;+1-800-778-7879;+1-504-636-7400;+1-866-698-0200;+1-504-529-0522,rrosetta@nola.com;jwalker@nola.com;cbrasted@nola.com;lmcgaughy@nola.com;ttroncale@nola.com;kmorris@nola.com;bmyers@nola.com;dgladow@nola.com;tharris@nola.com;drogers@nola.com;jboudwin@nola.com;jevans@nola.com;kbachman@nola.com;sstrachan@nola.com;socialscene@nola.com;hnolan@nola.com;gscheet@nola.com;amorale@nola.com;jroach@nola.com;jsmith@nola.com;kchatelain@nola.com;andrew_lopez@nola.com;dmaccash@nola.com;joshua_katzenstein@nola.com,,twitter.com/nolanews,,,facebook.com/nolanews,linkedin.com/company/nola.com,,pinterest.com/findnsave,,instagram.com/nolanews,,,youtube.com/user/noladotcom,N/A - Other - n/a@nola.com; N/A - Sales - n/a@nola.com; N/A - President - n/a@nola.com,,New Orleans,LA,70130,US,2020-09-26,2023-12-11,2000-02-25,2024-01-06,Shopify,Top 50m,Top 50k,-,-
domesticatedcompanion.com,domesticatedcompanion.com,$250,,0.0,0.0,0,DomesticatedCompanion,Law  Govt And Politics,1754.0,5890607,Outside Top 1m,29877,,,,,,ph:,info@domesticatedcompanion.com;p@domesticatedcompanion.com;874@www.domesticatedcompanion.com,,,,,facebook.com/domesticatedcompanion,,,,,,,,,,,,,,,2018-01-18,2023-12-24,2013-12-09,2023-12-31,,Top 500k,Top 100k,-,-
bleedinggreennation.com,bleedinggreennation.com,$2000,,100000.0,0.0,0,Vox Media Inc,Business And Industrial,1766.0,402954,47786,139692,,,,,,ph:+1-202-591-1140;+1-800-522-4700,,,twitter.com/bleedinggreen,,,,,,,,,,,,,,Washington,DC,20036,US,2016-11-09,2023-12-11,2006-10-04,2024-01-06,,Top 100k,Top 200k,-,-
letsrun.com,letsrun.com,$500,,5000.0,10.0,0,LetsRun.com LLC,Sports,1773.0,25867,42705,126499,,,,,,ph:+1-844-538-7786,letsrun@letsrun.com;suggestions@letsrun.com;weldonjohnson@letsrun.com;robertjohnson@letsrun.com;letsrun.com@letsrun.com;wejo@letsrun.com;remove@letsrun.com;advertise@letsrun.com;tions@letsrun.com;ons@letsrun.com;marathonprogram@letsrun.com;emory@letsrun.com;run.com@letsrun.com;aprilfools@letsrun.com;com@letsrun.com;tips@letsrun.com;steve@letsrun.com;letsun@letsrun.com;askljfdaslf@letsrun.com;jonathangault@letsrun.com,,twitter.com/letsrundotcom,,,facebook.com/letsrundotcom,,,,,instagram.com/letsrundotcom,,,youtube.com/user/letsrundotcom,N/A - Director - n/a@letsrun.com; N/A - Other - n/a@letsrun.com,,Acworth,NH,03601,US,2016-06-01,2023-12-24,2000-06-20,2023-12-31,Shopify,Top 50m,Top 100k,-,-
mobispirit.com,mobispirit.com,$0,,0.0,0.0,0,MobiSpirit,Art And Entertainment,1785.0,4002586,Outside Top 1m,290449,,,,,,ph:,aadmin@mobispirit.com,,,,,,,,,,,,,,,,,,,,2018-02-26,2023-12-24,2007-10-13,2023-12-24,WooCommerce Checkout,Top 10m,-,-,-
celebritynetworth.com,celebritynetworth.com,$250,$143535,5000.0,0.0,0,Celebrity Net Worth,Art And Entertainment,1788.0,399399,11792,88536,,,,,,ph:,,,twitter.com/celebnetworth,,,facebook.com/celebritynetworth,,,,,instagram.com/celebritynetworth,,,,N/A - Software - noemail; N/A - Director - noemail; N/A - Csuite - noemail; N/A - Founder - noemail,,Bakersfield,CA,93302,US,2016-11-09,2023-12-03,2009-10-31,2024-01-06,,Top 50k,Top 100k,-,California CCPA
travelermaster.com,travelermaster.com,$50,,0.0,0.0,0,Traveler Master,Travel,1814.0,599113,Outside Top 1m,111149,,,,,,ph:,,,,,,,,,,,,,,,,,,,,,2018-02-26,2023-12-23,2017-07-24,2023-12-31,,Top 50k,Top 50k,-,-
globalnews.ca,globalnews.ca,$5000,,500000.0,1.0,0,Global News,Law  Govt And Politics,1860.0,610,852,13420,,,,,,ph:+1-604-420-2288;+1-403-329-2903;+1-778-945-9399;+1-705-742-8712;+1-416-446-5460;+1-780-436-1250;+1-905-521-2700;+1-613-369-4900;+1-519-931-6098;+1-514-521-4323,viewercontactbc@globalnews.ca;viewercontactcalgary@globalnews.ca;calgary@globalnews.ca;viewercontactedmonton@globalnews.ca;edmonton@globalnews.ca;keith.baldrey@globalnews.ca;carmen.chai@globalnews.ca;jamie.sturgeon@globalnews.ca;montreal@globalnews.ca;okanagan@globalnews.ca;winnipeg@globalnews.ca;saskatoon@globalnews.ca;ulia.wong@globalnews.ca;regina@globalnews.ca;eith.baldrey@globalnews.ca;sos@globalnews.ca;mike.koncan@globalnews.ca;anna.mehlerpaperny@globalnews.ca;baldrey@globalnews.ca;karen.jouhal@globalnews.ca;viewercontacttoronto@globalnews.ca;viewercontacthalifax@globalnews.ca;halifax@globalnews.ca;viewercontactlethbridge@globalnews.ca;lethbridge@globalnews.ca;viewercontactmontreal@globalnews.ca;viewercontactokanagan@globalnews.ca;viewercontactregina@globalnews.ca;viewercontactsaskatoon@globalnews.ca;viewercontactwinnipeg@globalnews.ca;viewercontactthemorningshow@globalnews.ca;viewercontactwestblock@globalnews.ca;alerts@globalnews.ca;globalbarrie@globalnews.ca;globalguelph@globalnews.ca,,twitter.com/globalnews,tiktok.com/@globalnews.ca,,facebook.com/globalnews,linkedin.com/company/global-television,,pinterest.com/globaltvnews,,instagram.com/globalnews,,,,N/A - Account - n/a@globalnews.ca; N/A - Other - n/a@globalnews.ca; N/A - Director - n/a@globalnews.ca; N/A - Manager - n/a@globalnews.ca; N/A - President - n/a@globalnews.ca; N/A - Csuite - n/a@globalnews.ca,https://www.linkedin.com/in/john-bailey-39384611,,,,CA,2020-05-13,2023-12-09,2003-09-30,2024-01-08,,Top 10k,Top 50k,-,-
100percentfedup.com,100percentfedup.com,$500,,10000.0,0.0,0,100PercentFedUp.com,Law  Govt And Politics,1916.0,606365,110287,68251,,,,,,ph:,,,twitter.com/100percfedup,,,facebook.com/100percentfedup,,,pinterest.com/100percfedup,,instagram.com/100percentfedup,,,,N/A - Support - noemail; N/A - President - noemail,,Elizabeth Bay,NSW,2011,AU,2016-08-24,2023-11-03,2012-04-24,2023-12-31,,Top 500k,Top 200k,-,-
quotes.net,quotes.net,$50,,50.0,0.0,0,STANDS4 LLC,Art And Entertainment,1939.0,32113,63125,156943,,,,,,ph:,,,twitter.com/quotes_dot_net,,,,,,,,,,,,N/A - Other - noemail,,Lewes,DE,19958,US,2017-07-17,2023-11-14,2008-09-02,2023-12-31,,Top 500k,Top 200k,-,-
isitdownrightnow.com,isitdownrightnow.com,$500,,0.0,0.0,0,isitdownrightnow.com Privacy Policy,Education,1940.0,400305,25260,122400,,,,,,ph:,,,,,,,,,,,,,,,,,,,,,2018-08-30,2023-11-03,2012-01-22,2023-12-31,,Top 100k,Top 200k,-,-
hotair.com,hotair.com,$500,,10000.0,0.0,0,HotAir.com Salem Media,Law  Govt And Politics,1975.0,17833,7968,40362,,,,,,ph:+1-805-987-0400,,,twitter.com/hotairblog,,,facebook.com/hotaircom,,,,,,,,,N/A - Other - n/a@hotair.com; N/A - Director - n/a@hotair.com; N/A - Founder - n/a@hotair.com,,Arlington,VA,22219,US,2016-07-28,2023-10-17,2001-11-27,2024-01-08,,Top 50k,Top 50k,-,California CCPA
bigoven.com,bigoven.com,$1000,,2000.0,0.0,0,Lakefront Software Inc,Food And Drink,1986.0,5380,28198,83585,,,,,,ph:+1-206-673-2954;+1-206-708-7800,support@bigoven.com;bloggers@bigoven.com;pport@bigoven.com;upport@bigoven.com;ort@bigoven.com;authors@bigoven.com;privacy@bigoven.com,,twitter.com/bigoven,tiktok.com/@bigoven,,facebook.com/bigoven,,,pinterest.com/bigoven,,instagram.com/bigoven,,,,N/A - Director - n/a@bigoven.com,,Knoxville,TN,37902,US,2021-09-02,2023-11-03,2003-11-27,2024-01-06,,Top 50m,Top 100k,-,-
drweil.com,drweil.com,$1000,,500000.0,0.0,0,drweil,Health And Fitness,1988.0,17059,7998,219571,,,,,,ph:+1-800-444-7570;+1-602-952-0100;+1-800-273-8255,ha_accounts@drweil.com;webmaster23@drweil.com;webmaster@drweil.com;moderator44@drweil.com;www@drweil.com;mediainquiries@drweil.com;advertising@drweil.com;ebenjamin@drweil.com;slevenberg@drweil.com;team@drweil.com;privacy@drweil.com,,twitter.com/drweil,,,facebook.com/drweil,,,pinterest.com/drweil,,instagram.com/drweil,,,youtube.com/user/drweil,N/A - Other - n/a@drweil.com,,Tempe,AZ,85285,US,2021-06-07,2023-11-03,2008-02-12,2024-01-08,,Top 1m,Top 500k,-,-
wlwt.com,wlwt.com,$2000,,0.0,0.0,0,WLWT-TV,Sports,1997.0,13740,10689,228474,,,,,,ph:+1-513-412-6115;+1-877-297-4438;+1-513-412-5012;+1-212-887-6817;+1-212-649-2020;+1-513-412-5000,karinjohnson@wlwt.com;johnlondon@wlwt.com;alisonmontoya@wlwt.com;andrewsetters@wlwt.com;brianhamrick@wlwt.com;lauraborchers@wlwt.com;newsdesk@wlwt.com;terrydaniels@wlwt.com;kristydavis@wlwt.com;courtisfuller@wlwt.com;jackiecongedo@wlwt.com;rdyer@wlwt.com;erikzarnitz@wlwt.com;web@wlwt.com;jenniferschack@wlwt.com;kylawoods@wlwt.com;todddykes@wlwt.com;amywagner@wlwt.com;georgevogel@wlwt.com;ejesse@wlwt.com;investigates@wlwt.com,,twitter.com/wlwt,,,facebook.com/wlwt5,,,,,,,,youtube.com/user/wlwttv,N/A - Other - n/a@wlwt.com; N/A - Director - n/a@wlwt.com,,Cincinnati,OH,45202,US,2023-06-28,2024-01-04,2000-02-29,2024-01-07,,Top 50m,Top 100k,-,-
skinnytaste.com,skinnytaste.com,$1000,$428401,20000.0,0.0,0,Skinnytaste,Food And Drink,2006.0,16031,12275,60476,,,,,,ph:,,,twitter.com/skinnytaste,tiktok.com/@skinnytaste,,facebook.com/skinnytaste,,,pinterest.com/skinnytaste,,instagram.com/skinnytaste,,,,,,Oceanside,NY,11572,US,2016-03-30,2023-11-03,2011-01-03,2023-12-31,,Top 50k,Top 50k,-,-
aviewfrommyseat.com,aviewfrommyseat.com,$250,,500.0,0.0,0,A View From My Seat,Art And Entertainment,2016.0,409765,251623,Outside Top 1m,,,,,,ph:,,,twitter.com/aviewfrommyseat,,,facebook.com/aviewfrommyseat,,,,,,,,,N/A - Founder - noemail,,Philadelphia,Pennsylvania,19110,US,2017-09-01,2023-09-25,2010-06-12,2024-01-06,,Top 50k,Top 100k,-,-
faithit.com,faithit.com,$1000,,2000.0,0.0,0,Faithit,Society,2032.0,487401,116198,Outside Top 1m,,,,,,ph:,advertising@faithit.com;support@faithit.com;editorial@faithit.com,,twitter.com/sharefaithit,,,facebook.com/sharefaithit,,,pinterest.com/sharefaithit,,instagram.com/sharefaithit,,,,,,Colorado Springs,CO,80919,US,2017-04-03,2023-12-24,2013-08-18,2023-12-31,,Top 1m,Top 100k,-,-
ultrasurfing.com,ultrasurfing.com,$1000,,0.0,0.0,0,,Finance,2069.0,2102637,Outside Top 1m,127835,,,,,,ph:,,,,,,,,,,,,,,,,,Cheyenne,WY,82001,US,2021-11-02,2023-11-14,2006-04-10,2023-12-31,,Top 500k,Top 100k,-,-
cagesideseats.com,cagesideseats.com,$2000,,20000.0,0.0,0,Cageside Seats,Sports,2091.0,402628,52491,107044,,,,,,ph:+1-202-591-1140,,,twitter.com/cagesideseats,,,facebook.com/cagesideseatsdotcom,,,,,,,,,,,Washington,DC,20036,US,2016-11-09,2023-12-28,2009-08-26,2024-01-06,,Top 50k,Top 200k,-,-
barchart.com,barchart.com,$2000,,10000.0,10.0,0,Barchart.com,Finance,2096.0,13268,16126,13615,,,,,,ph:+1-312-939-4135;+1-800-733-5466;+1-312-566-9235;+1-800-238-5814,haraburda@barchart.com;info@barchart.com;trader@barchart.com;mds@barchart.com;realtime@barchart.com;jeremy@barchart.com;bullseyeoptions@barchart.com;real-time@barchart.com;aal@barchart.com;acs@barchart.com;registration@barchart.com;nl-usmc-bounce@barchart.com;fintech@barchart.com;newsletters@barchart.com;mgex@barchart.com;usmc@barchart.com;steveo@barchart.com;eero@barchart.com;bcbounce@barchart.com;tions@barchart.com;solutions@barchart.com;removeme@barchart.com;ccpa@barchart.com;privacy@barchart.com,,twitter.com/barchart,,,facebook.com/barchart,linkedin.com/company/barchart.com-inc.,,,,,,,,N/A - Support - n/a@barchart.com; N/A - Sales - n/a@barchart.com; N/A - Director - n/a@barchart.com; N/A - Csuite - n/a@barchart.com,,Chicago,IL,60606,US,2016-05-18,2023-12-28,2000-02-07,2024-01-08,,Top 50m,Top 50k,-,-
rollcall.com,rollcall.com,$5000,,300000.0,0.0,0,Roll Call,Law  Govt And Politics,2098.0,10884,3597,52829,,,,,,ph:+1-202-650-6500;+1-800-422-7128;+1-703-550-9500;+1-800-678-8511;+1-866-633-0789;+1-877-827-3321,customerservice@cqrollcall.com;reprints@cqrollcall.com;hoh@rollcall.com;people@cqrollcall.com;books@cqrollcall.com;letters@rollcall.com;shoptalk@rollcall.com;bridgetbowman@rollcall.com;kstreet@rollcall.com;climbers@rollcall.com;melaniezanona@rollcall.com;gabestarosta@rollcall.com;paulsinger@rollcall.com;alexknott@rollcall.com;erinmershon@rollcall.com;ambreenali@rollcall.com;hillnavigator@rollcall.com;laurabarronlopez@rollcall.com;katehunter@rollcall.com;triciamiller@rollcall.com;hotdocs@cqrollcall.com;davidhawkings@cqrollcall.com;attheraces@cqrollcall.com;tips@rollcall.com;advertisedept@cqrollcall.com;jamiemanning@cqrollcall.com;tometempe@cqrollcall.com;opinion@cqrollcall.com;tomtempe@cqrollcall.com;chrishale@cqrollcall.com;khariwilliams@cqrollcall.com;dakotabraun@cqrollcall.com,,twitter.com/rollcall,,,facebook.com/rollcall,,,,,instagram.com/rollcalldc,,,youtube.com/user/rollcallvideo,N/A - Other - n/a@rollcall.com; N/A - Sales - n/a@rollcall.com; N/A - Director - n/a@rollcall.com; N/A - Board - n/a@rollcall.com; N/A - Manager - n/a@rollcall.com; N/A - President - n/a@rollcall.com,https://www.linkedin.com/in/emily-kopp-27a46993,Washington,DC,20004,US,2019-09-10,2024-01-04,2000-10-08,2024-01-06,,Top 500k,Top 100k,-,-
gtaforums.com,gtaforums.com,$100,,2000.0,0.0,0,GTAForums,Technology And Computing,2111.0,434171,33227,172054,,,,,,ph:,groo@gtaforums.com;plpyton@gtaforums.com;picolini@gtaforums.com;icolini@gtaforums.com;dmin@gtaforums.com,,twitter.com/GTAForums,,,,,,,,,,,,,,,,,,2019-10-12,2023-10-17,2002-10-02,2024-01-02,,Top 100k,Top 100k,-,-
interesticle.com,interesticle.com,$1000,,0.0,0.0,0,Interesticle,Food And Drink,2113.0,2150791,Outside Top 1m,22845,,,,,,ph:,info@interesticle.com;support@interesticle.com,,,,,facebook.com/interesticle,,,,,,,,,,,,,,,2017-06-26,2023-12-24,2014-09-13,2023-12-31,,Top 50k,Top 500k,-,-
womansworld.com,womansworld.com,$5000,,1000.0,0.0,0,Woman&039s World,Food And Drink,2114.0,409523,98442,72534,,,,,,ph:+1-201-569-3584;+1-800-216-6981;+1-201-569-6699,ehollander@bauerpublishing.com;contactus@womansworld.com,,twitter.com/womansworldus,,,facebook.com/womansworldmag,,,pinterest.com/womansworldmag,,instagram.com/womansworldmag,,,,N/A - Whois - noemail,,Englewood Cliffs,NJ,07632,US,2016-08-28,2023-12-28,2007-02-09,2024-01-06,,Top 500k,Top 50k,-,-
nbc-2.com,nbc-2.com,$2000,,0.0,0.0,0,NBC2 News,Technology And Computing,2117.0,11510,8530,184353,,,,,,ph:+1-239-939-2020;+1-800-799-8881,newstips@nbc-2.com;weather@nbc-2.com;comments@nbc-2.com;lucas.seiler@nbc-2.com;support@nbc-2.com;graham.hunter@nbc-2.com;ambra@nbc-2.com;nestor.mato@nbc-2.com;levi.ismail@nbc-2.com;dave.elias@nbc-2.com;joshua.clay@nbc-2.com;joe.putrelo@nbc-2.com;meghan.bragg@nbc-2.com;rachel.polansky@nbc-2.com;devin.turk@nbc-2.com;kristen.kirchhaine@nbc-2.com;jason.dunning@nbc-2.com;elizabeth.eisele@nbc-2.com;jesse.pagan@nbc-2.com;david.hodges@nbc-2.com;david.belleville@nbc-2.com;julianne.dell@nbc-2.com;brenna.weick@nbc-2.com;aj.lewis.king@nbc-2.com;nestor.montoya@nbc-2.com;alex.howard@nbc-2.com;shannon.clowe@nbc-2.com;jaclyn.bevis@nbc-2.com;michael.raimondi@nbc-2.com;allyson.rae@nbc-2.com;nate.foy@nbc-2.com;gabrielle.dawkins@nbc-2.com;joanna.bouras@nbc-2.com;zack.wilson@nbc-2.com;alexa.santos@nbc-2.com;rachel.duensing@nbc-2.com;matt.gray@nbc-2.com;rob.duns@nbc-2.com;amelia.fabiano@nbc-2.com;sean.barie@nbc-2.com;edna.ruiz@nbc-2.com;cristina.mendez@nbc-2.com,,twitter.com/nbc2,,,facebook.com/nbc2news,,,,,instagram.com/nbc2,,,,N/A - Sales - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - President - noemail; N/A - Csuite - noemail,,Fort Myers,FL,33901,US,2017-04-03,2024-01-02,2000-10-11,2024-01-08,,Top 50m,Top 200k,-,-
livestly.com,livestly.com,$250,,0.0,0.0,0,Livestly Media Group,Health And Fitness,2130.0,6162400,944386,113007,,,,,,ph:,,,,,,facebook.com/livestlypage,,,,,,,,,,,Dover,DE,19901,US,2017-04-10,2023-12-24,2016-08-08,2023-12-31,,Top 500k,Top 50k,-,-
express.co.uk,express.co.uk,$2000,,750000.0,0.0,0,Express.co.uk,Technology And Computing,2140.0,380,483,8058,,,,,,ph:+44-208-6127000;+44-207-0982766;+44-208-6127139;+44-207-2933963;+44-207-5106236;+44-30-31231113,crm@express.co.uk,,twitter.com/daily_express,,,facebook.com/dailyexpress,,,,,instagram.com/dailyexpress,,,youtube.com/user/theexpressonline,N/A - Account - n/a@express.co.uk; N/A - Director - n/a@express.co.uk; N/A - Board - n/a@express.co.uk,,Greater London,UK,E14,GB,2018-04-17,2024-01-08,2002-10-01,2024-01-08,Magento;Magento Enterprise,Top 5000,Top 50k,-,GDPR United Kingdom
news.com.au,news.com.au,$10000,,500000.0,100.0,0,News Corp Australia,Business And Industrial,2145.0,333,476,8641,,,,,,ph:+61-28-1148600;+61-4-19760793;+61-29-2883000;+61-300-696397,privacy@news.com.au,,twitter.com/newscomauhq,,,facebook.com/news.com.au,,,,,instagram.com/newscomauhq,,,youtube.com/user/foxsportsau,N/A - Support - n/a@news.com.au; N/A - Engineering - n/a@news.com.au; N/A - Director - n/a@news.com.au; N/A - Board - n/a@news.com.au; N/A - Manager - n/a@news.com.au,,Sydney Domestic Airport,NSW,2020,AU,2017-10-09,2023-12-28,2000-10-17,2024-01-06,StackCommerce,Top 50m,Top 50k,-,-
chowhound.com,chowhound.com,$500,,100000.0,0.0,0,CHOWHOUND,Food And Drink,2179.0,13185,4639,54520,,,,,,ph:,moderators@chowhound.com;press@chowhound.com,,,,,facebook.com/chowhound,,,pinterest.com/chowhound,,instagram.com/chowhound,,,,,,Fishers,IN,46038,US,2020-06-01,2023-12-20,2006-03-16,2024-01-06,,Top 1m,Top 500k,-,-
therecipecritic.com,therecipecritic.com,$250,,150000.0,0.0,0,The Recipe Critic,Food And Drink,2200.0,412944,35039,53522,,,,,,ph:+1-385-232-3105,alyssa@therecipecritic.com;shop@therecipecritic.com,,twitter.com/therecipecritic,,,facebook.com/therecipecritic,,,pinterest.com/therecipecritic,,instagram.com/alyssa_therecipecritic,,,,N/A - Other - noemail,,,,,,2016-03-30,2023-11-03,2012-12-06,2023-12-31,,Top 50k,Top 50k,-,-
beeradvocate.com,beeradvocate.com,$500,,100000.0,0.0,0,BeerAdvocate,Food And Drink,2202.0,19215,8238,100036,,,,,,ph:,support@beeradvocate.com;mail@beeradvocate.com,,twitter.com/beeradvocate,,,facebook.com/beeradvocate,linkedin.com/company/beeradvocate,,pinterest.com/beeradvocate,,instagram.com/beeradvocate,,,youtube.com/user/beeradvocatetube,N/A - Other - noemail; N/A - Marketing - noemail; N/A - Sales - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - Founder - noemail,,Boston,MA,02128,US,2018-02-25,2023-12-31,2000-10-17,2024-01-07,,Top 100k,Top 100k,-,-
recipetineats.com,recipetineats.com,$2000,,1000.0,0.0,0,RecipeTin Eats,Food And Drink,2203.0,403357,31957,31067,,,,,,ph:,nagim@recipetineats.com;business@recipetineats.com,,twitter.com/recipe_tin,,,facebook.com/recipetineats,,,pinterest.com/recipetin,,instagram.com/recipe_tin,,,,,,,,,,2016-08-03,2023-11-03,2014-05-02,2024-01-05,,Top 10k,Top 50k,-,-
myincrediblerecipes.com,myincrediblerecipes.com,$250,,100000.0,0.0,0,My Incredible Recipes Inc,Food And Drink,2236.0,592965,271891,148551,,,,,,ph:,,,,tiktok.com/@incredible_recipes,,facebook.com/myincrediblerecipes,,,pinterest.com/incredibler,,instagram.com/myincrediblerecipes,,,,N/A - Other - noemail,,,,,,2016-07-06,2023-11-03,2014-08-20,2023-12-31,,Top 500k,Top 500k,-,-
onceuponachef.com,onceuponachef.com,$500,,2000.0,0.0,0,Once Upon a Chef,Food And Drink,2250.0,413300,43897,49570,,,,,,ph:,jennifer@onceuponachef.com,,twitter.com/onceuponachef,,,facebook.com/onceuponachef,,,pinterest.com/onceuponachef,,instagram.com/onceuponachef,,,,,,,,,,2016-05-26,2023-11-03,2009-10-07,2024-01-03,,Top 50k,Top 50k,-,-
geology.com,geology.com,$100,,0.0,0.0,0,Geology.com Digital Map Store,Science,2287.0,10785,7032,32465,,,,,,ph:+1-570-439-0324;+1-703-648-4460;+1-303-202-4764,fb@geology.com,,,,,facebook.com/usgeologicalsurvey,,,,,,,,,N/A - Manager - n/a@geology.com; N/A - Other - n/a@geology.com,,Uniontown,PA,15401,US,2022-03-21,2023-11-03,2005-10-01,2023-12-31,,Top 50m,Top 200k,-,-
lifestyle-a2z.com,lifestyle-a2z.com,$500,,0.0,0.0,0,,Art And Entertainment,2300.0,1760705,Outside Top 1m,63236,,,,,,ph:,info@lifestyle-a2z.com;p@lifestyle-a2z.com;686@www.lifestyle-a2z.com,,,,,facebook.com/lifestyle.a2z.magazine,,,,,,,,,,,,,,,2020-03-13,2023-12-24,2018-12-25,2023-12-31,,Top 1m,Top 100k,-,-
financialsamurai.com,financialsamurai.com,$500,$394421,20000.0,0.0,0,Financial Samurai,Finance,2301.0,44629,31798,112543,,,,,,ph:,,,twitter.com/financialsamura,,,facebook.com/financialsamurai,,,pinterest.com/financialsamura,,,,,,N/A - Csuite - noemail,,San Francisco,CA,94122,US,2016-12-14,2023-11-03,2009-08-18,2024-01-08,,Top 500k,Top 500k,-,California CCPA
science-a2z.com,science-a2z.com,$500,,0.0,0.0,0,,Art And Entertainment,2306.0,7121831,Outside Top 1m,96636,,,,,,ph:,info@science-a2z.com;p@science-a2z.com;138@www.science-a2z.com,,,,,facebook.com/science.a2z.magazine,,,,,,,,,,,,,,,2020-02-06,2023-12-24,2018-12-25,2023-12-31,,Top 500k,Top 50k,-,-
theweathernetwork.com,theweathernetwork.com,$1000,,1500000.0,0.0,0,The Weather Network,Science,2323.0,11390,5268,15456,,,,,,ph:+1-800-463-9463;+1-905-829-1159,,,twitter.com/weathernetwork,,,facebook.com/theweathernetwork,,,,,instagram.com/weathernetwork,,,youtube.com/user/theweathernetwork,N/A - Other - noemail; N/A - Sales - noemail; N/A - Manager - noemail,,Oakville North,ON,L6H,CA,2016-05-01,2024-01-06,2000-10-16,2024-01-06,,Top 5000,Top 50k,-,-
